"town","town_number"
"JUDEIDE-MAKER",1292
"GEVA BINYAMIN",3763
"GEVA BINYAMIN",3763
"GEVA BINYAMIN",3763
"GIV'AT AVNI",1293
"GIV'AT AVNI",1293
"GIV'AT AVNI",1293
"GIV'AT BRENNER",147
"GIV'AT BRENNER",147
"GIV'AT BRENNER",147
"GIV'AT ZE'EV",3730
"GIV'AT ZE'EV",3730
"GIV'AT ZE'EV",3730
"GIV'AT SHEMU'EL",681
"GIV'AT SHEMU'EL",681
"GIV'AT SHEMU'EL",681
"GIV'ATAYIM",6300
"GIV'ATAYIM",6300
"GIV'ATAYIM",6300
"GEDERA",2550
"GEDERA",2550
"GEDERA",2550
"JULIS",485
"JULIS",485
"JULIS",485
"JISH(GUSH HALAV)",487
"JISH(GUSH HALAV)",487
"JISH(GUSH HALAV)",487
"JALJULYE",627
"JALJULYE",627
"JALJULYE",627
"GAN YAVNE",166
"GAN YAVNE",166
"GAN YAVNE",166
"GAN NER",1274
"GAN NER",1274
"GAN NER",1274
"GANNE TIQWA",229
"GANNE TIQWA",229
"GANNE TIQWA",229
"JISR AZ-ZARQA",541
"JISR AZ-ZARQA",541
"JISR AZ-ZARQA",541
"DALIYAT AL-KARMEL",494
"DALIYAT AL-KARMEL",494
"DALIYAT AL-KARMEL",494
"DABBURYE",489
"DABBURYE",489
"DABBURYE",489
"DIMONA",2200
"DIMONA",2200
"DIMONA",2200
"DEIR HANNA",492
"DEIR HANNA",492
"DEIR HANNA",492
"HOD HASHARON",9700
"HOD HASHARON",9700
"HOD HASHARON",9700
"HAR ADAR",3769
"HAR ADAR",3769
"HAR ADAR",3769
"HERZELIYYA",6400
"HERZELIYYA",6400
"HERZELIYYA",6400
"ZIKHRON YA'AQOV",9300
"ZIKHRON YA'AQOV",9300
"ZIKHRON YA'AQOV",9300
"ZEMER",1290
"ZEMER",1290
"ZEMER",1290
"ZARZIR",975
"ZARZIR",975
"ZARZIR",975
"HADERA",6500
"HADERA",6500
"HADERA",6500
"HOLON",6600
"HOLON",6600
"HOLON",6600
"HURA",1303
"HURA",1303
"HURA",1303
"HAIFA",4000
"HAIFA",4000
"HAIFA",4000
"HAZOR HAGELILIT",2034
"HAZOR HAGELILIT",2034
"HAZOR HAGELILIT",2034
"HARISH",1247
"HARISH",1247
"HARISH",1247
"HURFEISH",496
"HURFEISH",496
"HURFEISH",496
"HASHMONA'IM",3770
"HASHMONA'IM",3770
"HASHMONA'IM",3770
"TIBERIAS",6700
"TIBERIAS",6700
"TIBERIAS",6700
"TUBA-ZANGARIYYE",962
"TUBA-ZANGARIYYE",962
"TUBA-ZANGARIYYE",962
"TAYIBE",2730
"TAYIBE",2730
"TAYIBE",2730
"TIRE",2720
"TIRE",2720
"TIRE",2720
"TIRAT KARMEL",2100
"TIRAT KARMEL",2100
"TIRAT KARMEL",2100
"TALMON",3788
"TALMON",3788
"TALMON",3788
"TAMRA",8900
"TAMRA",8900
"TAMRA",8900
"TUR'AN",498
"TUR'AN",498
"TUR'AN",498
"YANUH-JAT",1295
"YANUH-JAT",1295
"YANUH-JAT",1295
"YAVNE'EL",46
"YAVNE'EL",46
"YAVNE'EL",46
"YAVNE",2660
"YAVNE",2660
"YAVNE",2660
"YAD BINYAMIN",577
"YAD BINYAMIN",577
"YAD BINYAMIN",577
"YEHUD-MONOSON",9400
"YEHUD-MONOSON",9400
"YEHUD-MONOSON",9400
"YAFI",499
"YAFI",499
"YAFI",499
"YOQNE'AM ILLIT",240
"YOQNE'AM ILLIT",240
"YOQNE'AM ILLIT",240
"YEROHAM",831
"YEROHAM",831
"YEROHAM",831
"JERUSALEM",3000
"JERUSALEM",3000
"JERUSALEM",3000
"YIRKA",502
"YIRKA",502
"YIRKA",502
"KEFAR HAORANIM",3796
"KEFAR HAORANIM",3796
"KEFAR HAORANIM",3796
"KABUL",504
"KABUL",504
"KABUL",504
"KAOKAB ABU AL-HIJA",505
"KAOKAB ABU AL-HIJA",505
"KAOKAB ABU AL-HIJA",505
"KOKHAV YA'IR",1224
"KOKHAV YA'IR",1224
"KOKHAV YA'IR",1224
"KOKHAV YA'AQOV",3779
"KOKHAV YA'AQOV",3779
"KOKHAV YA'AQOV",3779
"KUSEIFE",1059
"KUSEIFE",1059
"KUSEIFE",1059
"KISRA-SUMEI",1296
"KISRA-SUMEI",1296
"KISRA-SUMEI",1296
"KA'ABIYYE-TABBASH-HA",978
"KA'ABIYYE-TABBASH-HA",978
"KA'ABIYYE-TABBASH-HA",978
"KEFAR ADUMMIM",3638
"KEFAR ADUMMIM",3638
"KEFAR ADUMMIM",3638
"KAFAR BARA",633
"KAFAR BARA",633
"KAFAR BARA",633
"KEFAR WERADIM",1263
"KEFAR WERADIM",1263
"KEFAR WERADIM",1263
"KEFAR HABAD",696
"KEFAR HABAD",696
"KEFAR HABAD",696
"KAFAR YASIF",507
"KAFAR YASIF",507
"KAFAR YASIF",507
"KEFAR YONA",168
"KEFAR YONA",168
"KEFAR YONA",168
"KAFAR KAMA",508
"KAFAR KAMA",508
"KAFAR KAMA",508
"KAFAR KANNA",509
"KAFAR KANNA",509
"KAFAR KANNA",509
"KAFAR MANDA",510
"KAFAR MANDA",510
"KAFAR MANDA",510
"KAFAR MISR",512
"KAFAR MISR",512
"KAFAR MISR",512
"KEFAR SAVA",6900
"KEFAR SAVA",6900
"KEFAR SAVA",6900
"KAFAR QASEM",634
"KAFAR QASEM",634
"KAFAR QASEM",634
"KAFAR QARA",654
"KAFAR QARA",654
"KAFAR QARA",654
"KEFAR TAVOR",47
"KEFAR TAVOR",47
"KEFAR TAVOR",47
"KARMI'EL",1139
"KARMI'EL",1139
"KARMI'EL",1139
"LEHAVIM",1271
"LEHAVIM",1271
"LEHAVIM",1271
"LOD",7000
"LOD",7000
"LOD",7000
"LAPPID",1310
"LAPPID",1310
"LAPPID",1310
"LAQYE",1060
"LAQYE",1060
"LAQYE",1060
"MEVASSERET ZIYYON",1015
"MEVASSERET ZIYYON",1015
"MEVASSERET ZIYYON",1015
"MAJD AL-KURUM",516
"MAJD AL-KURUM",516
"MAJD AL-KURUM",516
"MAJDAL SHAMS",4201
"MAJDAL SHAMS",4201
"MAJDAL SHAMS",4201
"MUGHAR",481
"MUGHAR",481
"MUGHAR",481
"MIGDAL HAEMEQ",874
"MIGDAL HAEMEQ",874
"MIGDAL HAEMEQ",874
"MODI'IN-MAKKABBIM-RE",1200
"MODI'IN-MAKKABBIM-RE",1200
"MODI'IN-MAKKABBIM-RE",1200
"MODI'IN ILLIT",3797
"MODI'IN ILLIT",3797
"MODI'IN ILLIT",3797
"MAZKERET BATYA",28
"MAZKERET BATYA",28
"MAZKERET BATYA",28
"MAZRA'A",517
"MAZRA'A",517
"MAZRA'A",517
"METAR",1268
"METAR",1268
"METAR",1268
"MAS'ADE",4203
"MAS'ADE",4203
"MAS'ADE",4203
"MA'ALE ADUMMIM",3616
"MA'ALE ADUMMIM",3616
"MA'ALE ADUMMIM",3616
"MA'ALE IRON",1327
"MA'ALE IRON",1327
"MA'ALE IRON",1327
"MA'ALOT-TARSHIHA",1063
"MA'ALOT-TARSHIHA",1063
"MA'ALOT-TARSHIHA",1063
"MI'ELYA",518
"MI'ELYA",518
"MI'ELYA",518
"MIZPE RAMON",99
"MIZPE RAMON",99
"MIZPE RAMON",99
"MUQEIBLE",635
"MUQEIBLE",635
"MUQEIBLE",635
"MERKAZ SHAPPIRA",1098
"MERKAZ SHAPPIRA",1098
"MERKAZ SHAPPIRA",1098
"MESHHED",520
"MESHHED",520
"MESHHED",520
"MATTAN",1315
"MATTAN",1315
"MATTAN",1315
"NAHARIYYA",9100
"NAHARIYYA",9100
"NAHARIYYA",9100
"Nof Ayalon",1333
"Nof Ayalon",1333
"Nof Ayalon",1333
"NOFIT",1284
"NOFIT",1284
"NOFIT",1284
"NAHEF",522
"NAHEF",522
"NAHEF",522
"NES ZIYYONA",7200
"NES ZIYYONA",7200
"NES ZIYYONA",7200
"NAZARETH",7300
"NAZARETH",7300
"NAZARETH",7300
"NAZERAT ILLIT",1061
"NAZERAT ILLIT",1061
"NAZERAT ILLIT",1061
"NESHER",2500
"NESHER",2500
"NESHER",2500
"NETIVOT",246
"NETIVOT",246
"NETIVOT",246
"NETANYA",7400
"NETANYA",7400
"NETANYA",7400
"SAJUR",525
"SAJUR",525
"SAJUR",525
"SAVYON",587
"SAVYON",587
"SAVYON",587
"SULAM",526
"SULAM",526
"SULAM",526
"SAKHNIN",7500
"SAKHNIN",7500
"SAKHNIN",7500
"SALLAMA",1245
"SALLAMA",1245
"SALLAMA",1245
"GHAJAR",4501
"GHAJAR",4501
"GHAJAR",4501
"UZEIR",528
"UZEIR",528
"UZEIR",528
"EILABUN",530
"EILABUN",530
"EILABUN",530
"ILUT",511
"ILUT",511
"ILUT",511
"EIN MAHEL",532
"EIN MAHEL",532
"EIN MAHEL",532
"EIN NAQQUBA",521
"EIN NAQQUBA",521
"EIN NAQQUBA",521
"AKKO",7600
"AKKO",7600
"AKKO",7600
"ELI",3765
"ELI",3765
"ELI",3765
"IMMANU'EL",3660
"IMMANU'EL",3660
"IMMANU'EL",3660
"OMER",666
"OMER",666
"OMER",666
"AFULA",7700
"AFULA",7700
"AFULA",7700
"OFRA",3617
"OFRA",3617
"OFRA",3617
"ARRABE",531
"ARRABE",531
"ARRABE",531
"ARAD",2560
"ARAD",2560
"ARAD",2560
"AR'ARA",637
"AR'ARA",637
"AR'ARA",637
"AR'ARA-BANEGEV",1192
"AR'ARA-BANEGEV",1192
"AR'ARA-BANEGEV",1192
"ATLIT",53
"ATLIT",53
"ATLIT",53
"FASSUTA",535
"FASSUTA",535
"FASSUTA",535
"PEQI'IN (BUQEI'A)",536
"PEQI'IN (BUQEI'A)",536
"PEQI'IN (BUQEI'A)",536
"FUREIDIS",537
"FUREIDIS",537
"FUREIDIS",537
"PARDES HANNA-KARKUR",7800
"PARDES HANNA-KARKUR",7800
"PARDES HANNA-KARKUR",7800
"PARDESIYYA",171
"PARDESIYYA",171
"PARDESIYYA",171
"PETAH TIQWA",7900
"PETAH TIQWA",7900
"PETAH TIQWA",7900
"ZUR HADASSA",1113
"ZUR HADASSA",1113
"ZUR HADASSA",1113
"ZUR MOSHE",276
"ZUR MOSHE",276
"ZUR MOSHE",276
"ZEFAT",8000
"ZEFAT",8000
"ZEFAT",8000
"QEDUMIM",3557
"QEDUMIM",3557
"QEDUMIM",3557
"QADIMA-ZORAN",195
"QADIMA-ZORAN",195
"QADIMA-ZORAN",195
"QESARIYYA",1167
"QESARIYYA",1167
"QESARIYYA",1167
"QALANSAWE",638
"QALANSAWE",638
"QALANSAWE",638
"QAZRIN",4100
"QAZRIN",4100
"QAZRIN",4100
"QIRYAT BIALIK",9500
"QIRYAT BIALIK",9500
"QIRYAT BIALIK",9500
"QIRYAT MOTZKIN",8200
"QIRYAT MOTZKIN",8200
"QIRYAT MOTZKIN",8200
"QIRYAT ONO",2620
"QIRYAT ONO",2620
"QIRYAT ONO",2620
"QIRYAT ARBA",3611
"QIRYAT ARBA",3611
"QIRYAT ARBA",3611
"QIRYAT ATTA",6800
"QIRYAT ATTA",6800
"QIRYAT ATTA",6800
"QIRYAT GAT",2630
"QIRYAT GAT",2630
"QIRYAT GAT",2630
"QIRYAT TIV'ON",2300
"QIRYAT TIV'ON",2300
"QIRYAT TIV'ON",2300
"QIRYAT YAM",9600
"QIRYAT YAM",9600
"QIRYAT YAM",9600
"QIRYAT YE'ARIM",1137
"QIRYAT YE'ARIM",1137
"QIRYAT YE'ARIM",1137
"QIRYAT MAL'AKHI",1034
"QIRYAT MAL'AKHI",1034
"QIRYAT MAL'AKHI",1034
"QIRYAT EQRON",469
"QIRYAT EQRON",469
"QIRYAT EQRON",469
"QIRYAT SHEMONA",2800
"QIRYAT SHEMONA",2800
"QIRYAT SHEMONA",2800
"QARNE SHOMERON",3640
"QARNE SHOMERON",3640
"QARNE SHOMERON",3640
"RAME",543
"RAME",543
"RAME",543
"ROSH HAAYIN",2640
"ROSH HAAYIN",2640
"ROSH HAAYIN",2640
"ROSH PINNA",26
"ROSH PINNA",26
"ROSH PINNA",26
"RISHON LEZIYYON",8300
"RISHON LEZIYYON",8300
"RISHON LEZIYYON",8300
"RAHAT",1161
"RAHAT",1161
"RAHAT",1161
"REHOVOT",8400
"REHOVOT",8400
"REHOVOT",8400
"REINE",542
"REINE",542
"REINE",542
"REKHASIM",922
"REKHASIM",922
"REKHASIM",922
"RAMLA",8500
"RAMLA",8500
"RAMLA",8500
"RAMAT GAN",8600
"RAMAT GAN",8600
"RAMAT GAN",8600
"RAMAT HASHARON",2650
"RAMAT HASHARON",2650
"RAMAT HASHARON",2650
"RAMAT YISHAY",122
"RAMAT YISHAY",122
"RAMAT YISHAY",122
"RA'ANANA",8700
"RA'ANANA",8700
"RA'ANANA",8700
"SHIBLI",913
"SHIBLI",913
"SHIBLI",913
"SEGEV-SHALOM",1286
"SEGEV-SHALOM",1286
"SEGEV-SHALOM",1286
"SEDEROT",1031
"SEDEROT",1031
"SEDEROT",1031
"SHOHAM",1304
"SHOHAM",1304
"SHOHAM",1304
"SHEIKH DANNUN",658
"SHEIKH DANNUN",658
"SHEIKH DANNUN",658
"SHILO",3641
"SHILO",3641
"SHILO",3641
"Shimshit",1337
"Shimshit",1337
"Shimshit",1337
"SHELOMI",812
"SHELOMI",812
"SHELOMI",812
"SHA'AB",538
"SHA'AB",538
"SHA'AB",538
"SHA'ARE TIQWA",3720
"SHA'ARE TIQWA",3720
"SHA'ARE TIQWA",3720
"SHEFAR'AM",8800
"SHEFAR'AM",8800
"SHEFAR'AM",8800
"TEL AVIV - YAFO",5000
"TEL AVIV - YAFO",5000
"TEL AVIV - YAFO",5000
"TEL MOND",154
"TEL MOND",154
"TEL MOND",154
"TEL SHEVA",1054
"TEL SHEVA",1054
"TEL SHEVA",1054
"TIFRAH",709
"TIFRAH",709
"TIFRAH",709
