town_number,town
505,KAOKAB ABU AL-HIJA       
576,KABRI                    
371,KADOORIE                 
1338,                         
3564,KOKHAV HASHAHAR          
1224,KOKHAV YA'IR             
3779,KOKHAV YA'AQOV           
824,KOKHAV MIKHA'EL          
1252,KORAZIM                  
1210,KAHAL                    
1367,                         
840,KISSUFIM                 
1153,KISHOR                   
1183,KELIL                    
1229,KALLANIT                 
1331,                         
1291,KEMEHIN                  
1201,KAMMON                   
2006,KANNOT                   
4028,KANAF                    
63,KINNERET(MOSHAVA)        
57,KINNERET(QEVUZA)         
1059,KUSEIFE                  
859,KESALON                  
1296,KISRA-SUMEI              
978,KA'ABIYYE-TABBASH-HA     
857,KEFAR AVIV               
3638,KEFAR ADUMMIM            
364,KEFAR URIYYA             
690,KEFAR AHIM               
220,KEFAR BIALIK             
177,KEFAR BILU               
357,KEFAR BLUM               
2010,KEFAR BIN NUN            
633,KAFAR BARA               
132,KEFAR BARUKH             
106,KEFAR GID'ON             
427,KEFAR GALLIM             
310,KEFAR GLIKSON            
76,KEFAR GIL'ADI            
707,KEFAR DANIYYEL           
3796,KEFAR HAORANIM           
192,KEFAR HAHORESH           
254,KEFAR HAMAKKABI          
582,KEFAR HANAGID            
890,KEFAR HANO'AR HADATI     
443,KEFAR HANASI             
187,KEFAR HESS               
217,KEFAR HARO'E             
888,KEFAR HARIF              
190,KEFAR VITKIN             
320,KEFAR WARBURG            
1263,KEFAR WERADIM            
1325,KEFAR ZOHARIM            
786,KEFAR ZETIM              
696,KEFAR HABAD              
609,KEFAR HOSHEN             
255,KEFAR HITTIM             
193,KEFAR HAYYIM             
1297,KEFAR HANANYA            
112,KEFAR HASIDIM ALEF       
889,KEFAR HASIDIM BET        
4004,KEFAR HARUV              
673,KEFAR TRUMAN             
507,KAFAR YASIF              
233,YEDIDYA                  
140,KEFAR YEHOSHUA           
168,KEFAR YONA               
85,KEFAR YEHEZQEL           
170,KEFAR YA'BEZ             
508,KAFAR KAMA               
509,KAFAR KANNA              
387,KEFAR MONASH             
1095,KEFAR MAYMON             
98,KEFAR MALAL              
510,KAFAR MANDA              
274,KEFAR MENAHEM            
297,KEFAR MASARYK            
512,KAFAR MISR               
764,KEFAR MORDEKHAY          
316,KEFAR NETTER             
345,KEFAR SZOLD              
6900,KEFAR SAVA               
107,KEFAR SILVER             
249,KEFAR SIRKIN             
875,KEFAR AVODA              
845,KEFAR AZZA               
3488,KEFAR EZYON              
189,KEFAR PINES              
634,KAFAR QASEM              
388,KEFAR KISH               
654,KAFAR QARA               
579,KEFAR ROSH HANIQRA       
1130,KEFAR ROZENWALD(ZAR.     
295,KEFAR RUPPIN             
1166,KEFAR RUT                
605,KEFAR SHAMMAY            
743,KEFAR SHEMU'EL           
267,KEFAR SHEMARYAHU         
47,KEFAR TAVOR              
3572,KEFAR TAPPUAH            
38,KARE DESHE               
1285,KARKOM                   
664,KEREM BEN ZIMRA          
88,KEREM BEN SHEMEN         
1094,KEREM YAVNE(YESHIVA)     
580,KEREM MAHARAL            
1085,KEREM SHALOM             
1264,KARME YOSEF              
3766,KARME ZUR                
1374,KARME QATIF              
1139,KARMI'EL                 
768,KARMIYYA                 
1198,KERAMIM                  
3656,KARMEL                   
0,                         
1207,LAVON                    
585,LAVI                     
1230,LIVNIM                   
2023,LAHAV                    
380,LAHAVOT HABASHAN         
715,LAHAVOT HAVIVA           
1271,LEHAVIM                  
7000,LOD                      
52,LUZIT                    
595,LOHAME HAGETA'OT         
1171,LOTEM                    
1255,LOTAN                    
674,LIMAN                    
24,LAKHISH                  
1310,LAPPID                   
1173,LAPPIDOT                 
1060,LAQYE                    
2055,MA'OR                    
102,ME'IR SHEFEYA            
771,MEVO BETAR               
3569,MEVO DOTAN               
3709,MEVO HORON               
4204,MEVO HAMMA               
1141,MEVO MODI'IM             
1318,MEVO'OT YAM              
1080,MABBU'IM                 
829,MIVTAHIM                 
573,MAVQI'IM                 
1015,MEVASSERET ZIYYON        
516,MAJD AL-KURUM            
4201,MAJDAL SHAMS             
481,MUGHAR                   
689,MEGADIM                  
65,MIGDAL                   
874,MIGDAL HAEMEQ            
3561,MIGDAL OZ                
3751,MIGDALIM                 
586,MEGIDDO                  
375,MAGGAL                   
695,MAGEN                    
1155,MAGEN SHA'UL             
722,MAGSHIMIM                
2029,MIDRAKH OZ               
1140,MIDRESHET BEN GURION     
897,MIDRESHET RUPPIN         
3797,MODI'IN ILLIT            
1200,MODI'IN-MAKKABBIM-RE     
269,MOLEDET                  
208,MOZA ILLIT               
635,MUQEIBLE                 
1163,MORAN                    
1178,MORESHET                 
606,MAZOR                    
28,MAZKERET BATYA           
104,MIZRA                    
517,MAZRA'A                  
3599,MEHOLA                   
1411,                         
1418,                         
1413,                         
1416,                         
1415,                         
1196,MAHANE YATTIR            
1414,                         
1417,                         
1412,                         
308,MAHANAYIM                
776,MAHSEYA                  
43,METULA                   
822,MATTA                    
1128,ME AMMI                  
2054,METAV                    
649,MEISER                   
4019,MEZAR                    
1282,MERAV                    
607,MERON                    
731,MESHAR                   
1268,METAR                    
3614,MEKHORA                  
1343,MAKCHUL                  
382,MIKHMORET                
1202,MIKHMANNIM               
164,MELE'A                   
2044,MELILOT                  
596,MALKIYYA                 
1154,MALKISHUA                
2030,MENUHA                   
1174,MANOF                    
1205,MANOT                    
48,MENAHEMYA                
347,MENNARA                  
994,MANSHIYYET ZABDA         
1258,MASSAD                   
263,MASSADA                  
298,MESILLOT                 
742,MESILLAT ZIYYON          
748,MASLUL                   
4203,MAS'ADE                  
939,MAS'UDIN AL-'AZAZME      
197,MA'BAROT                 
1082,MA'GALIM                 
678,MA'AGAN                  
694,MA'AGAN MIKHA'EL         
272,MA'OZ HAYYIM             
3657,MA'ON                    
570,ME'ONA                   
518,MI'ELYA                  
416,MA'YAN BARUKH            
290,MA'YAN ZEVI              
3616,MA'ALE ADUMMIM           
3608,MA'ALE EFRAYIM           
1127,MA'ALE GILBOA            
4008,MA'ALE GAMLA             
286,MA'ALE HAHAMISHA         
3752,MA'ALE LEVONA            
3651,MA'ALE MIKHMAS           
1327,MA'ALE IRON              
3653,MA'ALE AMOS              
3637,MA'ALE SHOMERON          
1063,MA'ALOT-TARSHIHA         
344,MA'ANIT                  
230,MA'AS                    
668,MEFALLESIM               
3745,MEZADOT YEHUDA           
325,MAZZUVA                  
757,MAZLIAH                  
58,MIZPA                    
1222,MIZPE AVIV               
1370,                         
3576,MIZPE YERIHO             
1190,MIZPE NETOFA             
99,MIZPE RAMON              
3610,MIZPE SHALEM             
648,MEZER                    
22,MIQWE YISRA'EL           
843,MARGALIYYOT              
4101,MEROM GOLAN              
1340,                         
97,MERHAVYA(MOSHAV)         
66,MERHAVYA(QIBBUZ)         
1098,MERKAZ SHAPPIRA          
421,MASH'ABBE SADE           
765,MISGAV DOV               
378,MISGAV AM                
520,MESHHED                  
3605,MASSU'A                  
620,MASSUOT YIZHAQ           
3785,MASKIYYOT                
670,MISHMAR AYYALON          
563,MISHMAR DAWID            
732,MISHMAR HAYARDEN         
395,MISHMAR HANEGEV          
130,MISHMAR HAEMEQ           
729,MISHMAR HASHIV'A         
194,MISHMAR HASHARON         
213,MISHMAROT                
425,MISHMERET                
791,MASH'EN                  
1315,MATTAN                   
1184,MATTAT                   
3648,MATTITYAHU               
4551,NE'OT GOLAN              
1124,NE'OT HAKIKKAR           
408,NE'OT MORDEKHAY          
1197,SHIZZAFON                
524,NA'URA                   
396,NEVATIM                  
315,NEGBA                    
3724,                         
309,NEHORA                   
80,NAHALAL                  
9100,NAHARIYYA                
4304,NOV                      
55,NOGAH                    
1366,NAVE                     
926,NEWE AVOT                
590,NEWE UR                  
4303,NEWE ATIV                
405,NEWE ILAN                
296,NEWE ETAN                
3725,NEWE DANIYYEL            
1057,NEWE ZOHAR               
1314,                         
1279,NEWE HARIF               
312,NEWE YAM                 
686,NEWE YAMIN               
858,NEWE YARAQ               
827,NEWE MIVTAH              
1071,NEWE MIKHA'EL            
1259,NEWE SHALOM              
15,NO'AM                    
1333,                         
3790,NOFIM                    
1284,NOFIT                    
257,NOFEKH                   
3726,NOQEDIM                  
447,NORDIYYA                 
833,NURIT                    
59,NEHUSHA                  
844,NAHAL OZ                 
2045,NAHALA                   
3767,NAHALI'EL                
449,NEHALIM                  
809,NAHAM                    
522,NAHEF                    
433,NAHSHOLIM                
777,NAHSHON                  
705,NAHSHONIM                
1147,NETU'A                   
4014,NATUR                    
1369,NETA                     
174,NETA'IM                  
1254,NATAF                    
523,NEIN                     
3655,NILI                     
351,NIZZAN                   
1419,NIZZAN B                 
1195,NIZZANA (QEHILAT HIN     
1280,NIZZANE SINAY            
851,NIZZANE OZ               
359,NIZZANIM                 
808,NIR ELIYYAHU             
553,NIR BANIM                
720,NIR GALLIM               
256,NIR DAWID (TEL AMAL)     
11,NIR HEN                  
165,NIR YAFE                 
402,NIR YIZHAQ               
699,NIR YISRA'EL             
2047,NIR MOSHE                
69,NIR OZ                   
348,NIR AM                   
769,NIR EZYON                
2048,NIR AQIVA                
331,NIR ZEVI                 
602,NIRIM                    
1236,NIRIT                    
3620,NIRAN                    
4035,NIMROD                   
825,NES HARIM                
1143,NES AMMIM                
7200,NES ZIYYONA              
186,NE'URIM                  
3787,NA'ALE                   
3713,NAAMA                    
158,NA'AN                    
1041,NASASRA                  
1372,                         
435,NEZER SERENI             
7300,NAZARETH                 
1061,NAZERAT ILLIT            
2500,NESHER                   
3555,NETIV HAGEDUD            
693,NETIV HALAMED-HE         
1242,NETIV HAASARA            
792,NETIV HASHAYYARA         
246,NETIVOT                  
7400,NETANYA                  
525,SAJUR                    
578,SASA                     
587,SAVYON                   
2046,SEGULA                   
942,SAWA'ID(HAMRIYYE)        
989,SAWA'ID (KAMANE)         
526,SULAM                    
3756,SUSEYA                   
1238,SUFA                     
7500,SAKHNIN                  
1170,SAYYID                   
1245,SALLAMA                  
3567,SAL'IT                   
1156,SAMAR                    
3777,                         
419,SA'AD                    
1360,SA'WA                    
454,SA'AR                    
1176,SAPPIR                   
610,SITRIYYA                 
4501,GHAJAR                   
892,AVDON                    
376,EVRON                    
794,AGUR                     
1199,ADI                      
2035,ADANIM                   
826,UZA                      
528,UZEIR                    
737,OLESH                    
666,OMER                     
810,OFER                     
3617,OFRA                     
32,OZEM                     
957,UQBI (BANU UQBA)         
328,EZUZ                     
1149,EZER                     
837,AZRI'EL                  
711,AZARYA                   
817,AZRIQAM                  
969,ATAWNE                   
3658,ATERET                   
1175,IDDAN                    
530,EILABUN                  
156,AYANOT                   
511,ILUT                     
687,EN AYYALA                
546,EIN AL-ASAD              
273,EN GEV                   
2042,EN GEDI                  
436,EN DOR                   
1240,EN HABESOR               
74,EN HOD                   
167,EN HAHORESH              
289,EN HAMIFRAZ              
383,EN HANAZIV               
367,EN HAEMEQ                
270,EN HASHOFET              
676,EN HASHELOSHA            
157,EN WERED                 
4503,EN ZIWAN                 
1320,                         
1053,EN HAZEVA                
89,EN HAROD (IHUD)          
82,EN HAROD(ME'UHAD)        
806,EN YAHAV                 
813,EN YA'AQOV               
1056,EN KAREM-B.S.HAQLA'I     
426,EN KARMEL                
532,EIN MAHEL                
521,EIN NAQQUBA              
223,EN IRON                  
622,EN ZURIM                 
4502,EIN QINIYYE              
514,EIN RAFA                 
139,EN SHEMER                
880,EN SARID                 
1251,EN TAMAR                 
871,ENAT                     
1187,IR OVOT                  
7600,AKKO                     
1146,ALUMIM                   
3765,ELI                      
3727,ALE ZAHAV                
688,ALMA                     
3715,ALMON                    
1212,AMUQQA                   
779,AMMINADAV                
385,AMMI'AD                  
318,AMMI'OZ                  
773,AMMIQAM                  
319,AMIR                     
3660,IMMANU'EL                
708,AMQA                     
3712,ENAV                     
534,ISIFYA                   
7700,AFULA                    
3778,EZ EFRAYIM               
917,ATSMON-SEGEV             
531,ARRABE                   
1246,ARAMSHA                  
1335,ARRAB AL NAIM            
2560,ARAD                     
593,ARUGOT                   
637,AR'ARA                   
1192,AR'ARA-BANEGEV           
591,ASERET                   
53,ATLIT                    
3748,OTNI'EL                  
1151,PARAN                    
3768,PEDU'EL                  
750,PEDUYIM                  
838,PEDAYA                   
1104,PORIYYA-KEFAR AVODA      
1105,PORIYYA-NEWE OVED        
1313,PORIYYA ILLIT            
537,FUREIDIS                 
767,PORAT                    
749,PATTISH                  
1185,PELEKH                   
597,PALMAHIM                 
3723,PENE HEVER               
3659,PESAGOT                  
535,FASSUTA                  
2059,PA'AME TASHAZ            
3615,PEZA'EL                  
536,PEQI'IN (BUQEI'A)        
281,PEQI'IN HADASHA          
7800,PARDES HANNA-KARKUR      
171,PARDESIYYA               
599,PAROD                    
2053,PERAZON                  
1231,PERI GAN                 
7900,PETAH TIQWA              
839,PETAHYA                  
413,ZE'ELIM                  
1180,ZVIYYA                   
1213,ZIV'ON                   
465,ZOVA                     
1136,ZOHAR                    
1111,ZOFIYYA                  
3791,ZUFIN                    
198,ZOFIT                    
1150,ZOFAR                    
1102,SHOSHANNAT HAAMAQIM(     
1262,MAHANE BILDAD            
1113,ZUR HADASSA              
1345,ZUR YIZHAQ               
276,ZUR MOSHE                
1148,ZUR NATAN                
774,ZURI'EL                  
1221,ZURIT                    
613,ZIPPORI                  
796,ZELAFON                  
636,SANDALA                  
594,ZAFRIYYA                 
1079,ZAFRIRIM                 
8000,ZEFAT                    
612,ZERUFA                   
567,ZOR'A                    
1234,QABBO'A                  
334,QEVUZAT YAVNE            
3557,QEDUMIM                  
195,QADIMA-ZORAN             
392,QEDMA                    
4025,QIDMAT ZEVI              
3781,QEDAR                    
615,QIDRON                   
1211,QADDARIM                 
964,QUDEIRAT AS-SANI         
972,QAWA'IN                  
766,QOMEMIYYUT               
1179,QORANIT                  
1052,QETURA                   
1167,QESARIYYA                
414,QELAHIM                  
3601,QALYA                    
638,QALANSAWE                
4024,QELA                     
1243,QAZIR                    
1347,                         
4100,QAZRIN                   
2620,QIRYAT ONO               
3611,QIRYAT ARBA              
6800,QIRYAT ATTA              
9500,QIRYAT BIALIK            
2630,QIRYAT GAT               
2300,QIRYAT TIV'ON            
9600,QIRYAT YAM               
1137,QIRYAT YE'ARIM           
2039,QIRYAT YE'ARIM(INSTI     
8200,QIRYAT MOTZKIN           
1034,QIRYAT MAL'AKHI          
3746,QIRYAT NETAFIM           
78,QIRYAT ANAVIM            
469,QIRYAT EQRON             
412,QIRYAT SHELOMO           
2800,QIRYAT SHEMONA           
3640,QARNE SHOMERON           
4006,QESHET                   
543,RAME                     
1334,                         
990,RAS ALI                  
2640,ROSH HAAYIN              
26,ROSH PINNA               
3602,ROSH ZURIM               
8300,RISHON LEZIYYON          
3795,REVAVA                   
564,REVADIM                  
354,REVIVIM                  
1225,RAVID                    
390,REGBA                    
444,REGAVIM                  
1161,RAHAT                    
2051,REWAHA                   
2016,REWAYA                   
1341,RUAH MIDBAR              
362,RUHAMA                   
539,RUMMANE                  
997,RUMAT HEIB               
3619,RO'I                     
3782,ROTEM                    
854,REHOV                    
8400,REHOVOT                  
3822,REHELIM                  
540,REIHANIYYE               
3568,REHAN                    
542,REINE                    
